order_id,customer_id,amount,created_at
ord_0001,cust_0021,64.54,2026-09-01T03:00:00+00:00
ord_0002,cust_0024,144.75,2026-09-01T06:00:00+00:00
ord_0003,cust_0008,78.36,2026-09-01T09:00:00+00:00
ord_0004,cust_0004,341.57,2026-09-01T12:00:00+00:00
ord_0005,cust_0018,52.59,2026-09-01T15:00:00+00:00
ord_0006,cust_0014,25.56,2026-09-01T18:00:00+00:00
ord_0007,cust_0003,117.12,2026-09-01T21:00:00+00:00
ord_0008,cust_0017,304.98,2026-09-02T00:00:00+00:00
ord_0009,cust_0018,107.42,2026-09-02T03:00:00+00:00
ord_0010,cust_0021,353.64,2026-09-02T06:00:00+00:00
ord_0011,cust_0014,118.01,2026-09-02T09:00:00+00:00
ord_0012,cust_0019,146.3,2026-09-02T12:00:00+00:00
ord_0013,cust_0001,381.81,2026-09-02T15:00:00+00:00
ord_0014,cust_0006,352.08,2026-09-02T18:00:00+00:00
ord_0015,cust_0011,146.15,2026-09-02T21:00:00+00:00
ord_0016,cust_0007,479.02,2026-09-03T00:00:00+00:00
ord_0017,cust_0011,60.07,2026-09-03T03:00:00+00:00
ord_0018,cust_0013,57.38,2026-09-03T06:00:00+00:00
ord_0019,cust_0012,305.82,2026-09-03T09:00:00+00:00
ord_0020,cust_0002,367.56,2026-09-03T12:00:00+00:00
ord_0021,cust_0018,71.15,2026-09-03T15:00:00+00:00
ord_0022,cust_0013,48.6,2026-09-03T18:00:00+00:00
ord_0023,cust_0010,416.4,2026-09-03T21:00:00+00:00
ord_0024,cust_0020,443.86,2026-09-04T00:00:00+00:00
ord_0025,cust_0012,292.89,2026-09-04T03:00:00+00:00
ord_0026,cust_0023,44.07,2026-09-04T06:00:00+00:00
ord_0027,cust_0022,121.66,2026-09-04T09:00:00+00:00
ord_0028,cust_0010,492.75,2026-09-04T12:00:00+00:00
ord_0029,cust_0008,434.57,2026-09-04T15:00:00+00:00
ord_0030,cust_0013,146.2,2026-09-04T18:00:00+00:00
ord_0031,cust_0021,418.7,2026-09-04T21:00:00+00:00
ord_0032,cust_0006,191.38,2026-09-05T00:00:00+00:00
ord_0033,cust_0007,338.38,2026-09-05T03:00:00+00:00
ord_0034,cust_0023,468.95,2026-09-05T06:00:00+00:00
ord_0035,cust_0021,44.98,2026-09-05T09:00:00+00:00
ord_0036,cust_0021,93.85,2026-09-05T12:00:00+00:00
ord_0037,cust_0024,129.95,2026-09-05T15:00:00+00:00
ord_0038,cust_0015,195.92,2026-09-05T18:00:00+00:00
ord_0039,cust_0021,347.19,2026-09-05T21:00:00+00:00
ord_0040,cust_0008,345.45,2026-09-06T00:00:00+00:00
ord_0041,cust_0025,390.23,2026-09-06T03:00:00+00:00
ord_0042,cust_0008,412.67,2026-09-06T06:00:00+00:00
ord_0043,cust_0011,206.56,2026-09-06T09:00:00+00:00
ord_0044,cust_0003,113.37,2026-09-06T12:00:00+00:00
ord_0045,cust_0019,439.41,2026-09-06T15:00:00+00:00
ord_0046,cust_0011,114.18,2026-09-06T18:00:00+00:00
ord_0047,cust_0016,203.85,2026-09-06T21:00:00+00:00
ord_0048,cust_0021,234.83,2026-09-07T00:00:00+00:00
ord_0049,cust_0009,78.41,2026-09-07T03:00:00+00:00
ord_0050,cust_0024,285.06,2026-09-07T06:00:00+00:00
ord_0051,cust_0009,376.03,2026-09-07T09:00:00+00:00
ord_0052,cust_0014,449.92,2026-09-07T12:00:00+00:00
ord_0053,cust_0013,187.37,2026-09-07T15:00:00+00:00
ord_0054,cust_0005,259.66,2026-09-07T18:00:00+00:00
ord_0055,cust_0003,380.32,2026-09-07T21:00:00+00:00
ord_0056,cust_0004,84.88,2026-09-08T00:00:00+00:00
ord_0057,cust_0006,398.11,2026-09-08T03:00:00+00:00
ord_0058,cust_0014,302.23,2026-09-08T06:00:00+00:00
ord_0059,cust_0013,196.98,2026-09-08T09:00:00+00:00
ord_0060,cust_0015,269.26,2026-09-08T12:00:00+00:00
